time,open,high,low,close,volume
2026-01-19 10:00:00+00:00,1.16244,1.16286,1.16222,1.1624,4612
2026-01-19 11:00:00+00:00,1.16241,1.16291,1.16202,1.1628,3591
2026-01-19 12:00:00+00:00,1.16278,1.16334,1.16252,1.16257,3787
2026-01-19 13:00:00+00:00,1.16258,1.16356,1.16258,1.16318,4586
2026-01-19 14:00:00+00:00,1.16317,1.16426,1.16302,1.16397,4453
2026-01-19 15:00:00+00:00,1.16398,1.16434,1.16318,1.16398,5268
2026-01-19 16:00:00+00:00,1.16398,1.16475,1.16377,1.1642,3103
2026-01-19 17:00:00+00:00,1.1642,1.16466,1.16396,1.16458,1887
2026-01-19 18:00:00+00:00,1.16459,1.16489,1.16432,1.16432,1169
2026-01-19 19:00:00+00:00,1.16431,1.1647,1.16426,1.16433,830
2026-01-19 20:00:00+00:00,1.16432,1.16454,1.16419,1.16454,990
2026-01-19 21:00:00+00:00,1.16454,1.16465,1.1643,1.1646,972
2026-01-19 22:00:00+00:00,1.16427,1.1647,1.16427,1.16458,268
2026-01-19 23:00:00+00:00,1.16457,1.16464,1.16385,1.16394,938
2026-01-20 00:00:00+00:00,1.16394,1.16412,1.16326,1.16404,2688
2026-01-20 01:00:00+00:00,1.16404,1.1644,1.1639,1.16438,4321
2026-01-20 02:00:00+00:00,1.16438,1.16465,1.16406,1.16444,2452
2026-01-20 03:00:00+00:00,1.16444,1.16588,1.16441,1.16566,3301
2026-01-20 04:00:00+00:00,1.16568,1.16666,1.16561,1.16656,2904
2026-01-20 05:00:00+00:00,1.16656,1.16727,1.1663,1.16632,3521
2026-01-20 06:00:00+00:00,1.16633,1.1669,1.16622,1.16686,4696
2026-01-20 07:00:00+00:00,1.16684,1.16938,1.16641,1.16888,8862
2026-01-20 08:00:00+00:00,1.16888,1.17219,1.16872,1.17162,12239
2026-01-20 09:00:00+00:00,1.17163,1.17328,1.17157,1.17262,9634
2026-01-20 10:00:00+00:00,1.17262,1.17322,1.17153,1.1731,8499
2026-01-20 11:00:00+00:00,1.17312,1.1739,1.17224,1.1735,6648
2026-01-20 12:00:00+00:00,1.1735,1.17438,1.17256,1.1726,6918
2026-01-20 13:00:00+00:00,1.17258,1.17693,1.17183,1.17334,18350
2026-01-20 14:00:00+00:00,1.17334,1.1737,1.17152,1.17193,16339
2026-01-20 15:00:00+00:00,1.17194,1.17372,1.17163,1.1727,12461
2026-01-20 16:00:00+00:00,1.17271,1.17394,1.1727,1.17389,8646
2026-01-20 17:00:00+00:00,1.17388,1.17428,1.17297,1.17316,6006
2026-01-20 18:00:00+00:00,1.17315,1.17341,1.17264,1.17266,4558
2026-01-20 19:00:00+00:00,1.17267,1.17279,1.17114,1.17124,6000
2026-01-20 20:00:00+00:00,1.17124,1.17206,1.1711,1.17196,7308
2026-01-20 21:00:00+00:00,1.17196,1.1727,1.17176,1.17268,1579
2026-01-20 22:00:00+00:00,1.17245,1.17262,1.17212,1.17223,879
2026-01-20 23:00:00+00:00,1.1722,1.17289,1.17218,1.17272,1109
2026-01-21 00:00:00+00:00,1.1727,1.1727,1.17166,1.17237,3224
2026-01-21 01:00:00+00:00,1.17238,1.17342,1.17228,1.1729,5146
2026-01-21 02:00:00+00:00,1.1729,1.17318,1.17244,1.17264,3621
2026-01-21 03:00:00+00:00,1.17269,1.17289,1.17106,1.1719,4150
2026-01-21 04:00:00+00:00,1.17189,1.17205,1.17141,1.17182,3115
2026-01-21 05:00:00+00:00,1.17181,1.17217,1.17156,1.17174,2810
2026-01-21 06:00:00+00:00,1.17174,1.17252,1.17155,1.1724,3227
2026-01-21 07:00:00+00:00,1.17238,1.17254,1.17101,1.1717,6805
2026-01-21 08:00:00+00:00,1.1717,1.17187,1.1705,1.17103,6908
2026-01-21 09:00:00+00:00,1.17101,1.17128,1.17013,1.17036,4961
2026-01-21 10:00:00+00:00,1.17034,1.17086,1.17016,1.1707,4836
2026-01-21 11:00:00+00:00,1.17068,1.17203,1.1704,1.17141,5638
2026-01-21 12:00:00+00:00,1.17142,1.17358,1.17122,1.17349,5968
2026-01-21 13:00:00+00:00,1.1735,1.1743,1.17286,1.17397,7495
2026-01-21 14:00:00+00:00,1.17398,1.17408,1.17152,1.17248,19281
2026-01-21 15:00:00+00:00,1.17247,1.17285,1.17006,1.1702,13099
2026-01-21 16:00:00+00:00,1.1702,1.17107,1.16948,1.17033,10460
2026-01-21 17:00:00+00:00,1.17034,1.17116,1.16972,1.1703,7939
2026-01-21 18:00:00+00:00,1.17028,1.17034,1.16937,1.1697,5020
2026-01-21 19:00:00+00:00,1.1697,1.17053,1.16772,1.16914,12335
2026-01-21 20:00:00+00:00,1.16916,1.1692,1.16762,1.16869,6612
2026-01-21 21:00:00+00:00,1.16869,1.16896,1.1684,1.16876,1777
2026-01-21 22:00:00+00:00,1.16854,1.16877,1.16842,1.16852,1017
2026-01-21 23:00:00+00:00,1.16855,1.16856,1.16698,1.1673,1754
2026-01-22 00:00:00+00:00,1.1673,1.16898,1.16729,1.16874,4517
2026-01-22 01:00:00+00:00,1.16872,1.16902,1.16814,1.16888,4378
2026-01-22 02:00:00+00:00,1.16888,1.16936,1.16835,1.16857,3078
2026-01-22 03:00:00+00:00,1.16856,1.16904,1.1685,1.16889,1845
2026-01-22 04:00:00+00:00,1.1689,1.16973,1.16889,1.16916,2217
2026-01-22 05:00:00+00:00,1.16914,1.1692,1.16842,1.16882,2574
2026-01-22 06:00:00+00:00,1.16884,1.16918,1.16842,1.16885,3424
2026-01-22 07:00:00+00:00,1.16884,1.16962,1.16848,1.16904,5351
2026-01-22 08:00:00+00:00,1.16902,1.1695,1.16842,1.1689,6289
2026-01-22 09:00:00+00:00,1.16894,1.16974,1.16878,1.16926,5411
2026-01-22 10:00:00+00:00,1.16927,1.16956,1.16866,1.16953,4055
2026-01-22 11:00:00+00:00,1.16954,1.17041,1.16904,1.17024,6952
2026-01-22 12:00:00+00:00,1.17022,1.17092,1.17001,1.17038,5084
2026-01-22 13:00:00+00:00,1.17038,1.17187,1.1703,1.17139,8329
2026-01-22 14:00:00+00:00,1.17138,1.17256,1.17108,1.17202,8773
2026-01-22 15:00:00+00:00,1.17202,1.17342,1.17185,1.1734,8500
2026-01-22 16:00:00+00:00,1.1734,1.17508,1.17334,1.17388,7700
2026-01-22 17:00:00+00:00,1.17386,1.1748,1.17275,1.17464,6662
2026-01-22 18:00:00+00:00,1.17463,1.17488,1.17432,1.17475,3438
2026-01-22 19:00:00+00:00,1.17474,1.1748,1.17412,1.17441,3139
2026-01-22 20:00:00+00:00,1.17442,1.1753,1.17422,1.1749,2765
2026-01-22 21:00:00+00:00,1.17486,1.17566,1.17473,1.17552,1967
2026-01-22 22:00:00+00:00,1.17528,1.17566,1.17516,1.17562,520
2026-01-22 23:00:00+00:00,1.17561,1.17592,1.17534,1.17538,1212
2026-01-23 00:00:00+00:00,1.17538,1.17538,1.17479,1.17481,2812
2026-01-23 01:00:00+00:00,1.1748,1.17538,1.1747,1.17494,4595
2026-01-23 02:00:00+00:00,1.17493,1.17502,1.1744,1.17454,2966
2026-01-23 03:00:00+00:00,1.17453,1.17488,1.17436,1.17436,3223
2026-01-23 04:00:00+00:00,1.17436,1.1751,1.17432,1.17498,1853
2026-01-23 05:00:00+00:00,1.17499,1.1754,1.17498,1.1751,2450
2026-01-23 06:00:00+00:00,1.1751,1.1753,1.17414,1.17419,4606
2026-01-23 07:00:00+00:00,1.1742,1.17474,1.17349,1.1736,10514
2026-01-23 08:00:00+00:00,1.17358,1.17452,1.17283,1.174,8895
2026-01-23 09:00:00+00:00,1.174,1.17452,1.17351,1.17354,6546
2026-01-23 10:00:00+00:00,1.17354,1.1736,1.173,1.17346,4662
